Step,AgentID,voted_for,num_votes,is_winner,num_wins,threshold,exit_probability,type,opinion1
1,20,,,,,,,voter,0.1552483420372649
1,21,,,,,,,voter,0.4112799625411737
1,22,,,,,,,voter,0.48758140890920254
1,23,,,,,,,voter,0.7209172273136791
1,24,,,,,,,voter,0.8238879161023359
1,25,,,,,,,voter,0.980373962429508
1,26,,,,,,,voter,0.6192993253250952
1,27,,,,,,,voter,0.02582645249485227
1,28,,,,,,,voter,0.8758116345776423
1,29,,,,,,,voter,0.6032002871217831
1,30,,,,,,,voter,0.07407369376876694
1,31,,,,,,,voter,0.9922780947871629
1,32,,,,,,,voter,0.8461811181720427
1,33,,,,,,,voter,0.629769888759728
1,34,,,,,,,voter,0.2462563075812223
1,35,,,,,,,voter,0.0034776959756934733
1,36,,,,,,,voter,0.7727230961740279
1,37,,,,,,,voter,0.9985074931365088
1,38,,,,,,,voter,0.4502391845614866
1,39,,,,,,,voter,0.3189288674373776
1,40,,,,,,,voter,0.15032990596892437
1,41,,,,,,,voter,0.6623829599945449
1,42,,,,,,,voter,0.5174053856530753
1,43,,,,,,,voter,0.39706817158913077
1,44,,,,,,,voter,0.06038159055136738
1,45,,,,,,,voter,0.17081174990424353
1,46,,,,,,,voter,0.3386064566523018
1,47,,,,,,,voter,0.28060068940625194
1,48,,,,,,,voter,0.37311621585572086
1,49,,,,,,,voter,0.1967771047738196
1,50,,,,,,,voter,0.8820048210823677
1,51,,,,,,,voter,0.6241773054582952
1,52,,,,,,,voter,0.877998894168332
1,53,,,,,,,voter,0.9339641350891916
1,54,,,,,,,voter,0.839804471108769
1,55,,,,,,,voter,0.6579109061945336
1,56,,,,,,,voter,0.852429932212535
1,57,,,,,,,voter,0.5623682524848367
1,58,,,,,,,voter,0.13153777338011485
1,59,,,,,,,voter,0.17465827286056468
1,60,,,,,,,voter,0.4795132462785304
1,61,,,,,,,voter,0.7038333022276446
1,62,,,,,,,voter,0.8490768454596049
1,63,,,,,,,voter,0.8521290399807969
1,64,,,,,,,voter,0.6539993593481648
1,65,,,,,,,voter,0.8747512626596877
1,66,,,,,,,voter,0.3430762965901084
1,67,,,,,,,voter,0.3369618225208094
1,68,,,,,,,voter,0.8803818244916454
1,69,,,,,,,voter,0.3770251792785009
1,70,,,,,,,voter,0.5971696691075996
1,71,,,,,,,voter,0.635661837711495
1,72,,,,,,,voter,0.18577319677489712
1,73,,,,,,,voter,0.045014372338202935
1,74,,,,,,,voter,0.1514114739510629
1,75,,,,,,,voter,0.29099617768863295
1,76,,,,,,,voter,0.10565748815931764
1,77,,,,,,,voter,0.0374154546594434
1,78,,,,,,,voter,0.19199154501723192
1,79,,,,,,,voter,0.48971245649356254
1,80,,,,,,,voter,0.4743554499334156
1,81,,,,,,,voter,0.00986447754930031
1,82,,,,,,,voter,0.8705242839591949
1,83,,,,,,,voter,0.6021423154232628
1,84,,,,,,,voter,0.39351796319198284
1,85,,,,,,,voter,0.5795760977992699
1,86,,,,,,,voter,0.5530131875453652
1,87,,,,,,,voter,0.5443453364892799
1,88,,,,,,,voter,0.7411238140451639
1,89,,,,,,,voter,0.31039866522464554
1,90,,,,,,,voter,0.712565829302431
1,91,,,,,,,voter,0.27246796243142435
1,92,,,,,,,voter,0.24550676502471525
1,93,,,,,,,voter,0.6007967420868106
1,94,,,,,,,voter,0.3740234186473119
1,95,,,,,,,voter,0.7522024549390374
1,96,,,,,,,voter,0.6252572496152482
1,97,,,,,,,voter,0.10345678982179551
1,98,,,,,,,voter,0.4773914803706424
1,99,,,,,,,voter,0.5005321294168377
1,100,100.0,0.0,False,0.0,0.95,0.33,candidate,0.953724377313939
1,101,101.0,0.0,False,0.0,0.95,0.33,candidate,0.20393371572097072
